     Orden	Palabra	Frec.absoluta 	 Frec.normalizada 
1	de	9,999,518 	6554555
2	la	6,277,560 	4114859
3	que 	4,681,839 	3068885
4	el	4,569,652 	2995348
5	en	4,234,281 	2775516
6	y	4,180,279 	2740119
7	a	3,260,939 	2137503
8	los	2,618,657 	1716495
9	se	2,022,514 	1325731
10	del	1,857,225 	1217387
11	las	1,686,741 	1105637
12	un	1,659,827 	1087995
13	por	1,561,904 	1023807
14	con 	1,481,607 	971174
15	no	1,465,503 	960618
16	una 	1,347,603 	883336
17	su	1,103,617 	723406
18	para	1,062,152 	696226
19	es	1,019,669 	668379
20	al	  951,054	623403
21	lo	  866,955	568277
22	como 	  773,465	506996
23	más 	  661,696	433733
24	o	  542,284	355460
25	pero	  450,512	295304
26	sus 	  449,870	294884
27	le	  413,241	270874
28	ha	  380,339	249307
29	me 	  374,368	245393
30	si	  327,480	214658
31	sin	  298,383	195586
32	sobre	  289,704	189897
33	este	  285,461	187116
34	ya	  274,177	179719
35	entre	  267,493	175338
36	cuando 	  257,272	168638
37	todo	  247,340	162128
38	esta	  238,841	156557
39	ser	  232,924	152678
40	son 	  232,415	152345
41	dos 	  228,439	149738
42	también 	  227,411	149064
43	fue	  223,791	146692
44	había	  223,430	146455
45	era	  219,933	144163
46	muy 	  208,540	136695
47	años 	  203,027	133081
48	hasta	  202,935	133021
49	desde 	  198,647	130210
50	está	  194,168	127274
51	mi	  186,360	122156
52	porque 	  185,700	121723
53	qué 	  184,956	121236
54	sólo	  170,552	111794
55	han 	  169,718	111247
56	yo	  167,684	109914
57	hay 	  164,940	108116
58	vez	  163,538	107197
59	puede 	  161,219	105676
60	todos	  158,168	103677
61	así	  155,645	102023
62	nos 	  154,412	101215
63	ni	  153,451	100585
64	parte	  148,750	97503
65	tiene	  147,274	96536
66	él	  139,080	91165
67	uno 	  136,020	89159
68	donde 	  132,077	86574
69	bien	  130,957	85840
70	tiempo 	  130,896	85800
71	mismo  	  130,746	85702
72	ese 	  127,976	83886
73	ahora	  125,661	82369
74	cada 	  124,558	81646
75	e	  123,729	81102
76	vida	  123,491	80946
77	otro	  121,983	79958
78	después 	  121,746	79802
79	te	  120,052	78692
80	otros	  119,500	78330
81	aunque 	  115,556	75745
82	esa 	  115,377	75628
83	eso 	  114,523	75068
84	hace 	  114,507	75057
85	otra	  113,982	74713
86	gobierno	  113,011	74077
87	tan	  112,471	73723
88	durante	  112,020	73427
89	siempre 	  111,557	73124
90	día	  110,921	72707
91	tanto	  110,679	72548
92	ella	  110,620	72509
93	tres	  109,542	71803
94	sí	  108,631	71206
95	dijo	  108,471	71101
96	sido	  107,352	70367
97	gran	  106,991	70131
98	país	  104,568	68542
99	según 	  104,204	68304
100	menos  	  103,498	67841
101	mundo  	  101,745	66692
