id,task_1,task_2
2abcfbec-b59cdc92,no-satire,no-satire
9c3f7d29-727fa523,satire,satire
0e415924-8b600d71,no-satire,no-satire
1f09022d-81190f9b,no-satire,no-satire
aa352c05-532b33cc,satire,satire
8fc9e149-3f7e0c6b,no-satire,no-satire
504d07ef-a847338c,satire,satire
5cb88f10-5e4848a6,satire,satire
b5a69c45-7eaa0331,no-satire,no-satire
cb908406-d062988c,no-satire,no-satire
1011aa40-d45bf124,no-satire,no-satire
2149cc54-656c81b4,satire,satire
c07fa9a2-8de814bc,satire,satire
5313f31b-4750bee3,no-satire,no-satire
5c93df49-76300183,no-satire,no-satire
301f6faa-fb5ddd01,satire,satire
24743979-4bbf504d,satire,satire
63052dae-df9063fd,satire,satire
e216ba7a-262dbf77,no-satire,no-satire
21abb41a-8aa7b6c8,satire,satire
25a62cd8-540d1a90,no-satire,no-satire
900d3818-b0254e07,satire,satire
ee48e6a8-54d498c0,no-satire,no-satire
fce92a38-3adeadcb,no-satire,no-satire
d0d3d921-728cc427,no-satire,no-satire
f4ffc941-a7feab46,satire,satire
71caaf69-3a3e3a3b,no-satire,no-satire
17552ca8-b0c4f2bc,no-satire,no-satire
dad01489-68e3220b,no-satire,no-satire
190ab92f-955b4476,satire,satire
f4f4765f-ab2f299e,no-satire,no-satire
323e747b-d04dcf9a,no-satire,no-satire
8ce81b3c-5cddb689,no-satire,no-satire
f87db85d-70957b0c,satire,satire
97ed7caa-b9ebaa9f,no-satire,no-satire
8c92bddf-6a6f835f,satire,satire
1d28748f-5066c2fd,no-satire,no-satire
44070fbf-a9b92015,satire,satire
8a331c41-f4f9ec24,satire,satire
f1b4eb1a-6c92bd74,no-satire,no-satire
adccefbf-ec83642c,no-satire,no-satire
4745db51-b23a0682,no-satire,no-satire
d0e7a0aa-82e0cb8a,satire,satire
21b347d6-0852cf6c,no-satire,no-satire
18a9eb87-086f9b5c,no-satire,no-satire
af84ad34-83d7f140,satire,satire
266d6784-3390cdee,no-satire,no-satire
3542fec8-e2de750e,satire,satire
db136d7d-c353a45f,no-satire,no-satire
58a9ecdd-ed3a1fb1,satire,satire
815c0b94-1002ecaa,no-satire,no-satire
ceb332b0-d42925af,satire,satire
bc3b4e59-0a11b2a7,satire,satire
7e47299e-858d6bb1,no-satire,no-satire
4ad7346d-1da586f1,no-satire,no-satire
1ed46bc0-b86a550d,satire,satire
51fb39ff-577dca5d,satire,satire
15b08b78-a79bf4b3,satire,satire
9f7d26ca-39160e08,satire,satire
a00e4fb9-fd22f502,satire,satire
f3fd0fa2-ebd83342,no-satire,no-satire
9392847b-8f60b881,satire,satire
0c5061e7-629406be,satire,satire
887b0093-024df21c,satire,satire
d7add1fb-b505db3f,satire,satire
b292dbae-67c874c8,satire,satire
3d12a556-b59e2e2a,satire,satire
40cea5eb-cb067ba9,satire,satire
56ebc75d-40dff780,no-satire,no-satire
3f8b4db1-85eeaeb8,no-satire,no-satire
c7c2e581-90289aa3,no-satire,no-satire
d0a618ce-52378edc,no-satire,no-satire
3b0a7c7f-96c766d1,no-satire,no-satire
5490214b-1d33b67c,no-satire,no-satire
49a7de1c-9e530120,satire,satire
aefcd9b9-2578c37d,satire,satire
be95fef1-7aff577b,satire,satire
e0ca1e61-e9e3e525,no-satire,no-satire
3a9aa166-05f59093,satire,satire
0f83499e-4439b5b6,satire,satire
e8a8a005-4d1c0cbb,no-satire,no-satire
53d9fa68-ef2ee9a5,no-satire,no-satire
b9496992-3c43d53b,no-satire,no-satire
e4d18c49-0a238ba7,no-satire,no-satire
501097a4-e1f0bab9,satire,satire
bddd22e1-b23dcd4f,no-satire,no-satire
36d42bab-2dea28d3,no-satire,no-satire
3f912bf4-0bcba97e,satire,satire
641c4171-e2d261db,satire,satire
63d3da37-86b66ca1,no-satire,no-satire
52d596b0-63b59661,satire,satire
3826f75b-ba14c8e5,satire,satire
86ae0b91-e42d0ad0,satire,satire
4bfde41f-989b722b,satire,satire
53b63159-64f00c13,no-satire,no-satire
5b97747c-a4aca1b4,satire,satire
